NORAD_ID,Name
230,THOR ABLESTAR DEB
231,THOR ABLESTAR DEB
232,THOR ABLESTAR DEB
233,THOR ABLESTAR DEB
234,THOR ABLESTAR DEB
235,THOR ABLESTAR DEB
236,THOR ABLESTAR DEB
237,THOR ABLESTAR DEB
238,THOR ABLESTAR DEB
239,THOR ABLESTAR DEB
240,MERCURY ATLAS 6
241,ATLAS D R/B
242,FTV 2301
243,THOR ABLESTAR DEB
244,THOR ABLESTAR DEB
245,THOR ABLESTAR DEB
246,THOR ABLESTAR DEB
247,DISCOVERER 38
248,DISCOVERER 38 DEB
249,DISCOVERER 38 DEB
250,THOR ABLESTAR DEB
251,DISCOVERER 38 DEB
252,THOR ABLESTAR DEB
253,THOR ABLESTAR DEB
254,THOR ABLESTAR DEB
255,OSO 1
256,SAMOS 6
257,DELTA 1 R/B
258,SAMOS 6 DEB [REFLECTOR]
259,ATLAS AGENA B R/B
260,THOR ABLESTAR DEB
261,THOR ABLESTAR DEB
262,THOR ABLESTAR DEB
263,THOR ABLESTAR DEB
264,THOR ABLESTAR DEB
265,THOR ABLESTAR DEB
266,COSMOS 1 (SPUTNIK 11)
267,SL-7 R/B
268,THOR ABLESTAR DEB
269,COSMOS 2 (SPUTNIK 12)
270,SL-7 R/B
271,MIDAS 5 (STRONGBACK)
272,MIDAS 5 DEB
273,MIDAS 5 DEB
274,MIDAS 5 DEB
275,THOR ABLESTAR DEB
276,FTV 1154
277,FTV 1154 DEB
278,FTV 1154 DEB
279,FTV 1154 DEB
280,RANGER 4
281,COSMOS 3 (SPUTNIK 13)
282,ATLAS AGENA B R/B
283,SL-7 R/B
284,SL-3 R/B
285,ARIEL 1 (UK-1)
286,SAMOS 7 (FTV 2401)
287,COSMOS 4 (SPUTNIK 14)
288,DELTA 1 R/B
289,SL-3 DEB
290,FTV 1125
291,FTV 1125 DEB
292,FTV 1126
293,FTV 1126 DEB
294,FTV 1126 DEB
295,MERCURY ATLAS 7
296,ATLAS D 7 R/B
297,COSMOS 5 (SPUTNIK 15)
298,SL-7 R/B
299,THOR ABLESTAR DEB
300,THOR ABLESTAR DEB
301,THOR ABLESTAR DEB
302,FTV 1128
303,FTV 1128 DEB
304,FTV 1127
305,OSCAR 2 (OSCAR II)
306,FTV 1127 DEB
307,SAMOS 8 (FTV 2402)
308,FTV 2312
309,TIROS 5
310,FTV 2312 DEB
311,DELTA 1 R/B
312,DELTA 1 DEB [YO]
313,DELTA 1 DEB [YO]
314,FTV 2312 DEB
315,FTV 1129
316,FTV 1151
317,THOR ABLESTAR DEB
318,THOR ABLESTAR DEB
319,THOR ABLESTAR DEB
320,THOR ABLESTAR DEB
321,THOR ABLESTAR DEB
322,THOR ABLESTAR DEB
323,THOR ABLESTAR DEB
